K,beta,h_min,second_frac,t2_over_t1,hv_over_max_thresh,t1,t2,h1,h2,hv_over_max,is_bimodal,source
K=2,0.02,1e-07,0.02,10,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-07,0.02,10,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-07,0.02,10,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-07,0.02,12,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-07,0.02,12,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-07,0.02,12,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,8,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,8,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,8,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,10,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,10,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,10,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,12,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,12,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.005,12,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,8,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,8,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,8,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,10,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,10,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,10,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,12,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,12,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.01,12,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,8,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,8,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,8,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,10,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,10,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,10,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,12,0.1,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,12,0.2,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.02,1e-06,0.02,12,0.3,51.0,1022.0,0.0002595871506590295,0.0002941192119505788,0.5744083920159077,0,cases
K=2,0.03,1e-08,0.005,8,0.1,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,8,0.2,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,8,0.3,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,10,0.1,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,10,0.2,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,10,0.3,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,12,0.1,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,12,0.2,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.005,12,0.3,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.01,8,0.1,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.01,8,0.2,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.01,8,0.3,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
K=2,0.03,1e-08,0.01,10,0.1,50.0,935.0,0.00038249692737188406,0.0003117724284564475,0.6011930699859822,0,cases
